団体コード,値
34307,1
34309,0
34368,0
34369,0
34431,0
34462,0
34545,0
35201,2
35202,1
35203,2
35204,1
35206,1
35207,1
35208,2
35210,1
35211,2
35212,2
35213,1
35215,4
35216,2
35305,0
35321,1
35341,0
35343,1
35344,0
35502,1
36201,4
36202,1
36203,1
36204,1
36205,1
36206,0
36207,1
36208,3
36301,0
36302,0
36321,0
36341,1
36342,0
36368,0
36383,1
36387,1
36388,2
36401,1
36402,1
36403,0
36404,1
36405,0
36468,1
36489,1
37201,4
37202,1
37203,1
37204,1
37205,2
37206,2
37207,1
37208,1
37322,0
37324,0
37341,1
37364,4
37386,1
37387,3
37403,1
37404,2
37406,1
38201,4
38202,2
38203,3
38204,3
38205,1
38206,2
38207,3
38210,3
38213,2
38214,1
38215,1
38356,4
38386,3
38401,1
38402,1
38422,1
38442,0
38484,1
38488,1
38506,0
39201,4
39202,2
39203,1
39204,1
39205,0
39206,1
39208,0
39209,0
39210,1
39211,1
39212,3
39301,3
39302,2
39303,1
39304,1
39305,0
39306,0
39307,1
39341,0
39344,3
39363,0
39364,0
39386,1
39387,3
39401,1
39402,2
39403,1
39405,0
39410,1
39411,0
39412,3
39424,0
39427,0
39428,1
40100,4
40130,4
40202,1
40203,2
40204,2
40205,2
40206,2
40207,0
40210,0
40211,1
40212,0
40213,1
40214,1
40215,1
40216,0
40217,2
40218,2
40219,1
40220,1
40221,1
40223,1
40224,1
40225,1
40226,1
40227,0
40228,0
40229,1
40230,1
40231,2
40341,2
40342,1
40343,0
40344,1
40345,1
40348,1
40349,1
40381,0
40382,1
40383,1
40384,1
40401,1
40402,1
40421,2
40447,1
40448,1
40503,0
40522,0
40544,0
40601,1
40602,2
40604,0
40605,1
40608,0
40609,0
40610,0
40621,1
40625,0
40642,1
40646,0
40647,1
41201,3
41202,3
41203,2
41204,1
41205,0
41206,1
41207,2
41208,1
41209,1
41210,1
41327,1
41341,2
41345,1
41346,1
41387,0
41401,1
41423,1
41424,1
41425,1
41441,1
42201,4
42202,3
42203,0
42204,1
42205,1
42207,0
42208,0
42209,0
42210,0
42211,0
42212,0
42213,0
42214,0
42307,0
42308,0
42321,2
42322,1
42323,0
42383,0
42391,0
42411,0
43100,4
43202,2
43203,0
43204,1
43205,1
43206,4
43208,0
43210,0
43211,1
43212,0
43213,1
43214,3
43215,0
43216,0
43348,0
43364,1
43367,1
43368,1
43369,0
43403,0
43404,0
43423,0
43424,0
43425,0
43428,0
43432,0
43433,0
43441,0
43442,0
43443,0
43444,0
43447,0
43468,1
43482,1
43484,1
43501,0
43505,0
43506,0
43507,0
43510,0
43511,0
43512,0
43513,0
43514,0
43531,0
44201,4
44202,1
44203,2
44204,2
44205,1
44206,2
44207,1
44208,2
44209,0
44210,1
44211,2
44212,1
44213,0
44214,0
44322,0
44341,1
44461,0
44462,0
45201,4
45202,2
45203,1
45204,3
45205,1
45206,1
45207,1
45208,0
45209,1
45341,1
45361,1
45382,0
45383,0
45401,1
45402,1
45403,0
45404,0
45405,1
45406,1
45421,1
45429,0
45430,0
45431,0
45441,0
45442,0
45443,0
46201,4
46203,3
46204,3
46206,1
46208,1
46210,3
46213,0
46214,2
46215,2
46216,1
46217,1
46218,2
46219,1
46220,1
46221,3
46222,0
46223,1
46224,0
46225,1
46303,0
46304,0
46392,0
46404,0
46452,1
46468,1
46482,1
46490,0
46491,0
46492,1
46501,0
46502,0
46505,0
46523,0
46524,0
46525,0
46527,0
46529,0
46530,0
46531,0
46532,0
46533,0
46534,0
46535,0
47201,4
47205,0
47207,0
47208,0
47209,1
47210,0
47211,0
47212,0
47213,0
47214,0
47215,0
47301,0
47302,0
47303,0
47306,3
47308,3
47311,4
47313,0
47314,0
47315,0
47324,0
47325,0
47326,0
47327,0
47328,3
47329,0
47348,0
47350,0
47353,0
47354,0
47355,0
47356,0
47357,0
47358,0
47359,0
47360,0
47361,0
47362,0
47375,0
47381,0
47382,0
